Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
ADSK,Autodesk Inc,Technology,Software - Application,USA,51770000000.0,47.4,244.19,0.0141,1283569.0,18.68,20.64
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4390000000.0,31.07,148.83,0.0095,118739.0,17.83,
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,38830000000.0,24.6,40.11,0.0301,4117746.0,24.97,21.58
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77620000000.0,41.95,194.11,0.0177,614789.0,26.16,-57.57
IDT,IDT Corp,Communication Services,Telecom Services,USA,1220000000.0,15.12,48.66,0.0282,48460.0,20.92,24.35
NFLX,Netflix Inc,Communication Services,Entertainment,USA,340550000000.0,31.92,80.66,0.009000000000000001,23237707.0,25.37,-2.22
PAYC,Paycom Software Inc,Technology,Software - Application,USA,7250000000.0,16.02,128.89,0.036699999999999997,905580.0,18.0,54.75
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,6920000000.0,31.85,127.23,-0.0002,386697.0,17.15,43.82
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60550000000.0,34.37,340.32,0.030299999999999997,361333.0,25.82,-14.39
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,12980000000.0,30.61,26.83,-0.0128,8316373.0,24.61,51.39
V,Visa Inc,Financial,Credit Services,USA,625330000000.0,31.09,328.06,-0.0026,3139810.0,17.94,-15.45
