Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
ADSK,Autodesk Inc,Technology,Software - Application,USA,51770000000.0,47.4,244.19,0.0141,1283569.0,18.68
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4390000000.0,31.07,148.83,0.0095,118739.0,17.83
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,38830000000.0,24.6,40.11,0.0301,4117746.0,24.97
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77620000000.0,41.95,194.11,0.0177,614789.0,26.16
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,6600000000.0,27.95,35.04,0.0053,1782023.0,-4.11
EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,5190000000.0,22.15,32.71,0.011399999999999999,1865071.0,13.87
IDT,IDT Corp,Communication Services,Telecom Services,USA,1220000000.0,15.12,48.66,0.0282,48460.0,20.92
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,14360000000.0,6.77,75.57,-0.0066,273186.0,-1.68
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,8189999999.999999,37.7,135.96,0.0024,668598.0,11.46
NFLX,Netflix Inc,Communication Services,Entertainment,USA,340550000000.0,31.92,80.66,0.009000000000000001,23237707.0,25.37
ODD,ODDITY Tech Ltd,Consumer Defensive,Household & Personal Products,Israel,1780000000.0,17.32,30.97,-0.0206,269519.0,-3.99
OSPN,OneSpan Inc,Technology,Software - Infrastructure,USA,419630000.0,7.48,11.03,-0.0147,1019369.0,-2.12
PAYC,Paycom Software Inc,Technology,Software - Application,USA,7250000000.0,16.02,128.89,0.036699999999999997,905580.0,18.0
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,6920000000.0,31.85,127.23,-0.0002,386697.0,17.15
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60550000000.0,34.37,340.32,0.030299999999999997,361333.0,25.82
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5630000000.0,14.04,61.28,0.0273,318251.0,10.77
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,12980000000.0,30.61,26.83,-0.0128,8316373.0,24.61
V,Visa Inc,Financial,Credit Services,USA,625330000000.0,31.09,328.06,-0.0026,3139810.0,17.94
