Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,4380000000.0,31.0,148.49,0.013000000000000001,164530.0,18.28
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,38740000000.0,24.55,40.02,-0.0138,2621249.0,25.62
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3640000000.0,34.99,71.0,0.0197,47011.0,17.43
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,76220000000.0,41.2,190.6,-0.0040999999999999995,427823.0,26.1
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,7150000000.0,30.3,37.99,0.0139,1764235.0,-3.41
EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,6310000000.0,26.93,39.76,0.0155,270371.0,15.97
FUBO,fuboTV Inc,Communication Services,Broadcasting,USA,809440000.0,6.4,2.29,0.0291,6526333.0,-13.93
IDT,IDT Corp,Communication Services,Telecom Services,USA,1240000000.0,15.31,49.27,0.0132,26782.0,21.22
KSPI,Kaspi.kz JSC ADR,Technology,Software - Infrastructure,Kazakhstan,14400000000.0,6.79,75.79,-0.005,305746.0,-1.67
MANH,"Manhattan Associates, Inc",Technology,Software - Application,USA,9030000000.0,41.54,149.79,-0.008100000000000001,343597.0,12.02
NFLX,Netflix Inc,Communication Services,Entertainment,USA,353350000000.0,33.12,83.69,0.0024,22023040.0,26.0
ODD,ODDITY Tech Ltd,Consumer Defensive,Household & Personal Products,Israel,1920000000.0,18.66,33.37,0.0161,209901.0,-3.63
PAYC,Paycom Software Inc,Technology,Software - Application,USA,7560000000.0,16.7,134.3,-0.0034000000000000002,250725.0,17.89
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7370000000.0,33.95,135.6,0.0046,250207.0,15.58
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60070000000.0,34.1,337.6,0.013300000000000001,227067.0,25.33
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5390000000.0,13.44,58.65,0.0039000000000000003,229152.0,10.69
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,14740000000.0,34.77,30.48,0.0048,4307518.0,25.99
YELP,Yelp Inc,Communication Services,Internet Content & Information,USA,1700000000.0,12.18,27.6,0.008,219127.0,4.23
